Layer Idx,Layer Name,Layer Type,Pass,Layer Class,Input Tensor dims,Input Tensor Size (Ki),Input Tensor Compression,Filter Size,Stride Size,Pad Size,Dilation Size,Group Size,Output Tensor Dims,Output Tensor Size (Ki),Output Tensor Compression,Weight Dims,Weight Tensor Compression,Weight Size (Ki),Layer MACs (M),Layer Compute OPS (M),Total Size (Ki),Input Sparsity,Output Sparsity,Parameter Sparsity,Compute Sparsity,Precision,TilingInfo
0,token_embedding,Embed,fwd,Other,input_tensor(16;512;1;1),16.00,[1.0],1,1,0,1,1,token_embedding(16;512;1;1024),16384.00,[1.0],token_embedding_params(8388608),[1.0],16384.00,0.00,8.39,32784.00,[1],[1],[1],1,2,{}
1,token_embedding_out,Reshape,fwd,TensorLayout,token_embedding(16;512;1;1024),16384.00,[1.0],1,1,0,1,1,token_embedding_out(16;512;1024;1),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
2,segment_embedding,Dense,fwd,ConvOther,input_seg_onehot(16;512;2;1),32.00,[1.0],1,1,0,1,1,segment_embedding(16;512;1024;1),16384.00,[1.0],segment_embedding_params(2048),[1.0],4.00,16.78,33.55,16420.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024, 'output_z': 1, 'max_k_slicing_combined': 2, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
3,add_pre,Add,fwd,Pointwise,"token_embedding_out(16;512;1024;1),segment_embedding(16;512;1024;1)",32768.00,"[1.0, 1.0]",1,1,0,1,1,add_pre(16;512;1024;1),16384.00,[1.0],,[],0.00,0.00,8.39,49152.00,"[1, 1]",[1],[],1,2,{}
4,add_embed,Add,fwd,Pointwise,"add_pre(16;512;1024;1),pos_embed(1;512;1024;1)",17408.00,"[1.0, 1.0]",1,1,0,1,1,add_embed(16;512;1024;1),16384.00,[1.0],,[],0.00,0.00,8.39,33792.00,"[1, 1]",[1],[],1,2,{}
5,layer_norm_in,LayerNorm,fwd,ConvOther,add_embed(16;512;1024;1),16384.00,[1.0],1,1,0,1,1,layer_norm_in(16;512;1024;1),16384.00,[1.0],,[],0.00,8.39,67.13,32768.00,[1],[1],[],1,2,{}
6,att_in,Identity,fwd,Other,layer_norm_in(16;512;1024;1),16384.00,[1.0],1,1,0,1,1,att_in(16;512;1024;1),16384.00,[1.0],,[],0.00,0.00,0.00,32768.00,[1],[1],[],1,2,{}
7,encoder_q_proj0,Dense,fwd,ConvOther,att_in(16;512;1024;1),16384.00,[1.0],1,1,0,1,1,encoder_q_proj0(16;512;1024.0;1),16384.00,[1.0],encoder_q_proj0_params(1048576.0),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024.0, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
8,encoder_q_reshape0,Reshape,fwd,TensorLayout,encoder_q_proj0(16;512;1024.0;1),16384.00,[1.0],1,1,0,1,1,encoder_q_reshape0(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
9,encoder_q_trans0,Transpose,fwd,TensorLayout,encoder_q_reshape0(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_q_trans0(16;16;512;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
