Layer,Act,ActElop,Wght,Output
 conv1,0.526812,,2.04082,33.136
 pool1,33.136,,,28.8036
res2a_branch1,28.8036,,2.62451,6.14624
res2a_branch2a,28.8036,,3.88184,40.4865
res2a_branch2b,40.4865,,2.74251,39.7456
res2a_branch2c,39.7456,,1.74561,6.10862
 res2a,6.14624,6.10862,,47.4984
res2b_branch2a,47.4984,,4.29077,54.833
res2b_branch2b,54.833,,1.87446,51.9377
res2b_branch2c,51.9377,,1.37329,18.9616
 res2b,47.4984,18.9616,,35.9491
res2c_branch2a,35.9491,,1.31836,59.4343
res2c_branch2b,59.4343,,3.21994,57.6979
res2c_branch2c,57.6979,,1.03149,28.4611
res2c,35.9491,28.4611,,33.2217
res3a_branch1,33.2217,,2.10266,7.77688
res3a_branch2a,33.2217,,1.76392,53.114
res3a_branch2b,53.114,,2.17828,51.1739
res3a_branch2c,51.1739,,1.43585,9.48885
res3a,7.77688,9.48885,,58.5982
res3b_branch2a,58.5982,,1.88904,67.8591
res3b_branch2b,67.8591,,2.55602,66.9005
res3b_branch2c,66.9005,,1.31836,17.2396
res3b,58.5982,17.2396,,58.4996
res3c_branch2a,58.4996,,3.1723,70.9403
res3c_branch2b,70.9403,,3.27759,71.8949
res3c_branch2c,71.8949,,1.45874,17.9638
res3c,58.4996,17.9638,,59.9786
res3d_branch2a,59.9786,,2.35138,74.9422
res3d_branch2b,74.9422,,2.15997,50.9716
res3d_branch2c,50.9716,,1.44348,18.1374
res3d,59.9786,18.1374,,38.1305
res4a_branch1,38.1305,,1.9453,6.62468
res4a_branch2a,38.1305,,2.39334,59.0601
res4a_branch2b,59.0601,,2.46175,62.7132
res4a_branch2c,62.7132,,1.63078,9.85182
res4a,6.62468,9.85182,,64.073
res4b_branch2a,64.073,,2.3098,68.8656
res4b_branch2b,68.8656,,2.57382,77.7224
res4b_branch2c,77.7224,,1.56288,11.519
res4b,64.073,11.519,,61.4901
res4c_branch2a,61.4901,,2.20985,79.8948
res4c_branch2b,79.8948,,2.12182,71.5083
res4c_branch2c,71.5083,,1.36375,10.1234
res4c,61.4901,10.1234,,65.6728
res4d_branch2a,65.6728,,2.29225,79.5859
res4d_branch2b,79.5859,,1.86818,76.9531
res4d_branch2c,76.9531,,1.30882,14.0864
res4d,65.6728,14.0864,,66.8347
res4e_branch2a,66.8347,,2.04468,85.1981
res4e_branch2b,85.1981,,1.94329,63.6121
res4e_branch2c,63.6121,,1.26114,12.5712
res4e,66.8347,12.5712,,66.8188
res4f_branch2a,66.8188,,2.10991,84.7278
res4f_branch2b,84.7278,,2.18116,56.8459
res4f_branch2c,56.8459,,1.2989,15.3888
res4f,66.8188,15.3888,,48.0902
res5a_branch1,48.0902,,2.09532,3.34124
res5a_branch2a,48.0902,,1.8364,79.2371
res5a_branch2b,79.2371,,1.73459,79.0019
res5a_branch2c,79.0019,,1.57146,4.44735
res5a,3.34124,4.44735,,78.3622
res5b_branch2a,78.3622,,1.86558,82.7408
res5b_branch2b,82.7408,,1.63752,79.4603
res5b_branch2c,79.4603,,1.70937,2.79915
res5b,78.3622,2.79915,,80.9999
res5c_branch2a,80.9999,,1.86644,88.3769
res5c_branch2b,88.3769,,1.42687,65.621
res5c_branch2c,65.621,,1.80054,1.9033
res5c,80.9999,1.9033,,82.398
pool5,,,,
fc1000,,,,
prob,,,,
